station_name,station_identifier,type,latitude,longitude,elevation
Rio Hondo near Roswell,3594,River/Stream,33.408894,-104.471675,3500.000000
Rio Penasco at Dayton near Artesia,3595,River/Stream,32.743338,-104.414175,3385.190000
Rocky Arroyo at Highway Bridge near Lakewood,3596,River/Stream,32.506116,-104.375009,3250.000000
South Seven Rivers near Lakewood,3597,River/Stream,32.588616,-104.421397,3280.000000
Pilot Butte Power Plant,3675,Power Plant,43.21901744,-108.7876807,5485.000000
Pilot Butte Power Plant Unit 2,3677,Power Plant Unit,43.21901744,-108.7876807,5485.000000
Pilot Butte Power Plant Unit 1,3676,Power Plant Unit,43.21901744,-108.7876807,5485.000000
Whiskeytown Lake and Dam,509,Lake/Reservoir,40.598,-122.537,1210.000000
Shoshone Power Plant,3299,Power Plant,44.50289729,-109.1812276,5153.760000
Shoshone Power Plant Unit 3,3487,Power Plant Unit,44.50289729,-109.1812276,5153.760000
Minidoka Power Plant Unit 9,3444,Power Plant Unit,42.66989883,-113.48317504,4170.800000
Minidoka Power Plant Unit 8,3443,Power Plant Unit,42.66989883,-113.48317504,4170.800000
Minidoka Power Plant Unit 7,3442,Power Plant Unit,42.66989883,-113.48317504,4170.800000
Minidoka Power Plant Unit 6,3441,Power Plant Unit,42.66989883,-113.48317504,4170.800000
Little Lake Alice Reservoir,394,Lake/Reservoir,41.9625,-103.5722,4138.000000
Willow Creek Reservoir and Dam (CO),515,Lake/Reservoir,40.1478,-105.942,8130.000000
Willow Creek Reservoir and Dam (MT),508,Lake/Reservoir,47.5467,-112.4292,4153.000000
Winters Creek Lake,507,Lake/Reservoir,41.9575,-103.5322,4125.000000
Webster Reservoir and Dam,506,Lake/Reservoir,39.3914,-99.4258,1924.000000
Waconda Lake and Glen Elder Dam,504,Lake/Reservoir,39.4961,-98.3133,1467.000000
Twin Lakes Reservoir and Dam,499,Lake/Reservoir,39.0803,-106.3139,9200.000000
Turquoise Lake and Sugarloaf Dam,498,Lake/Reservoir,39.2528,-106.3742,9750.000000
Sun River Diversion Dam,483,Lake/Reservoir,47.6208,-112.7067,4370.000000
Shadehill Reservoir and Dam,476,Lake/Reservoir,45.7533,-102.2033,2320.000000
Lake Sherburne and Dam,475,Lake/Reservoir,48.8283,-113.5211,4803.000000
Shadow Mountain Lake and Dam,473,Lake/Reservoir,40.2072,-105.8417,8365.000000
Seminoe Reservoir Dam and Powerplant,467,Lake/Reservoir,42.1558,-106.9081,6361.000000
Ruedi Reservoir and Dam ,456,Lake/Reservoir,39.3639,-106.818,7766.000000
Pueblo Reservoir and Dam,445,Lake/Reservoir,38.2597,-104.7181,4850.000000
Pactola Reservoir and Dam,444,Lake/Reservoir,44.0722,-103.4881,4660.000000
Pishkun Reservoir and Dikes,443,Lake/Reservoir,47.6767,-112.4967,4300.000000
Pinewood Reservoir and Rattlesnake Dam ,438,Lake/Reservoir,40.368,-105.2864,6552.000000
Pilot Butte Reservoir and Dam,435,Lake/Reservoir,43.2,-108.75,5400.000000
Pathfinder Reservoir and Dam,433,Lake/Reservoir,42.4681,-106.8536,5678.000000
Nelson Reservoir and Dam,424,Lake/Reservoir,48.5297,-107.5186,2200.000000
Lake Nasworthy and Dam,421,Lake/Reservoir,31.3886,-100.4781,1872.200000
Mount Elbert Forebay Reservoir and Dam,419,Lake/Reservoir,39.1022,-106.3533,9650.000000
Merritt Reservoir and Dam,418,Lake/Reservoir,42.635,-100.8722,2956.000000
Mcgee Creek Reservoir and Dam,408,Lake/Reservoir,34.3145,-95.875,576.000000
Lovewell Reservoir and Dam,404,Lake/Reservoir,39.8845,-98.0281,1595.000000
Lake Minatare and Dam,399,Lake/Reservoir,41.9183,-103.4886,4140.000000
Lima Reservoir Upstream of Clark Canyon Reservoir,398,Lake/Reservoir,44.6561,-112.3706,
Horsetooth Reservoir and Dam,369,Lake/Reservoir,40.5994,-105.1711,5300.000000
Green Mountain Reservoir Dam and Powerplant,353,Lake/Reservoir,39.8789,-106.3133,7960.000000
Lake Granby and Dam,351,Lake/Reservoir,40.182,-105.8711,8290.000000
Grand Lake,344,Lake/Reservoir,40.2417,-105.8022,8366.000000
Deerfield Reservoir and Dam,315,Lake/Reservoir,44.0281,-103.7858,5958.000000
Davis Creek Reservoir and Dam,311,Lake/Reservoir,41.4047,-98.7078,2094.000000
Canyon Ferry Lake Dam Powerplant and Helena Valley Pumping Plant,295,Lake/Reservoir,46.6492,-111.7275,3673.000000
Cawker City Dike,293,Lake/Reservoir,39.4989,-98.4406,1482.000000
Choke Canyon Reservoir and Dam,291,Lake/Reservoir,28.4667,-98.1667,1994.000000
Carter Lake Reservoir and Dam ,288,Lake/Reservoir,40.3242,-105.2119,6745.000000
Bull Lake Reservoir and Dam ,278,Lake/Reservoir,43.2097,-109.0417,5814.000000
Bighorn River and BIA Canal near St. Xavier,276,Lake/Reservoir,45.3167,-107.918,3100.000000
South Fork Dike at Buffalo Bill Reservoir,271,Lake/Reservoir,44.4425,-109.2125,5401.000000
Lake Alice and Dams,266,Lake/Reservoir,41.9867,-103.6322,4190.000000
Anchor Reservoir and Dam,262,Lake/Reservoir,43.6639,-108.8242,6370.000000
Alcova Reservoir Dam and Powerplant,259,Lake/Reservoir,42.5489,-106.7206,5500.000000
Audubon Lake North Dakota,2,Lake/Reservoir,47.6114,-101.2656,1862.000000
Lake Mohave Davis Dam and Powerplant,3513,Lake/Reservoir,35.1979,-114.5694,647.000000
Platoro Reservoir and Dam ,3512,Lake/Reservoir,37.3406,-106.564,9972.000000
Yellowtail Power Plant Unit 4,3500,Power Plant Unit,45.30740604,-107.95751503,3361.740000
Yellowtail Power Plant Unit 3,3499,Power Plant Unit,45.30740604,-107.95751503,3361.740000
Yellowtail Power Plant Unit 2,3498,Power Plant Unit,45.30740604,-107.95751503,3361.740000
Yellowtail Power Plant Unit 1,3497,Power Plant Unit,45.30740604,-107.95751503,3361.740000
Upper Molina Power Plant Unit 1,3496,Power Plant Unit,39.14380817,-108.00477696,7115.640000
Trinity Power Plant Unit 2,3495,Power Plant Unit,40.79729606,-122.762553,1916.310000
Trinity Power Plant Unit 1,3494,Power Plant Unit,40.79729606,-122.762553,1916.310000
Stampede Power Plant Unit 2,3492,Power Plant Unit,39.4704469,-120.1045501,5718.360000
Stampede Power Plant Unit 1,3491,Power Plant Unit,39.4704469,-120.1045501,5718.360000
Spring Creek Power Plant Unit 2,3490,Power Plant Unit,40.62811453,-122.46750913,630.300000
Spring Creek Power Plant Unit 1,3489,Power Plant Unit,40.62811453,-122.46750913,630.300000
Spirit Mountain Power Plant Unit 1,3488,Power Plant Unit,44.51269948,-109.12987759,5108.730000
Shasta Power Plant Unit S2,3486,Power Plant Unit,40.7174549,-122.42227399,624.500000
Shasta Power Plant Unit S1,3485,Power Plant Unit,40.7174549,-122.42227399,624.500000
Shasta Power Plant Unit 5,3484,Power Plant Unit,40.7174549,-122.42227399,624.500000
Shasta Power Plant Unit 4,3483,Power Plant Unit,40.7174549,-122.42227399,624.500000
Shasta Power Plant Unit 3,3482,Power Plant Unit,40.7174549,-122.42227399,624.500000
Shasta Power Plant Unit 2,3481,Power Plant Unit,40.7174549,-122.42227399,624.500000
Shasta Power Plant Unit 1,3480,Power Plant Unit,40.7174549,-122.42227399,624.500000
Seminoe Power Plant Unit 3,3479,Power Plant Unit,42.15612723,-106.90848298,6191.730000
Seminoe Power Plant Unit 2,3478,Power Plant Unit,42.15612723,-106.90848298,6191.730000
Seminoe Power Plant Unit 1,3477,Power Plant Unit,42.15612723,-106.90848298,6191.730000
Roza Power Plant Unit 1,3468,Power Plant Unit,46.61841316,-120.47775915,1068.630000
Pole Hill Power Plant Unit 1,3467,Power Plant Unit,40.36505621,-105.32507438,6602.350000
Parker Power Plant Unit 4,3466,Power Plant Unit,34.29533439,-114.14022156,400.850000
Parker Power Plant Unit 3,3465,Power Plant Unit,34.29533439,-114.14022156,400.850000
Parker Power Plant Unit 2,3464,Power Plant Unit,34.29533439,-114.14022156,400.850000
Parker Power Plant Unit 1,3463,Power Plant Unit,34.29533439,-114.14022156,400.850000
Palisades Power Plant Unit 4,3462,Power Plant Unit,43.33484879,-111.20575219,5388.090000
Palisades Power Plant Unit 3,3461,Power Plant Unit,43.33484879,-111.20575219,5388.090000
Palisades Power Plant Unit 2,3460,Power Plant Unit,43.33484879,-111.20575219,5388.090000
Palisades Power Plant Unit 1,3459,Power Plant Unit,43.33484879,-111.20575219,5388.090000
Nimbus Power Plant Unit 2,3452,Power Plant Unit,38.63735019,-121.22019774,109.600000
Nimbus Power Plant Unit 1,3451,Power Plant Unit,38.63735019,-121.22019774,109.600000
New Melones Power Plant Unit 2,3450,Power Plant Unit,37.9469274,-120.52821066,526.420000
New Melones Power Plant Unit 1,3449,Power Plant Unit,37.9469274,-120.52821066,526.420000
Mt. Elbert PS Pump Generating Plant Unit 2,3448,Pump Generating Plant Unit,39.09419721,-106.35233086,9249.360000
Mt. Elbert PS Pump Generating Plant Unit 1,3447,Pump Generating Plant Unit,39.09419721,-106.35233086,9249.360000
Morrow Point Power Plant Unit 2,3446,Power Plant Unit,38.45175332,-107.53929908,6847.750000
Morrow Point Power Plant Unit 1,3445,Power Plant Unit,38.45175332,-107.53929908,6847.750000
Marys Lake Power Plant Unit 1,3439,Power Plant Unit,40.3440796,-105.5343083,8043.480000
Lower Molina Power Plant Unit 1,3438,Power Plant Unit,39.19365968,-108.04408811,5802.010000
Lewiston Power Plant Unit 1,3437,Power Plant Unit,40.72586504,-122.79371384,1910.910000
Kortes Power Plant Unit 3,3436,Power Plant Unit,42.17430142,-106.88054306,5966.240000
Kortes Power Plant Unit 2,3435,Power Plant Unit,42.17430142,-106.88054306,5966.240000
Kortes Power Plant Unit 1,3434,Power Plant Unit,42.17430142,-106.88054306,5966.240000
Keswick Power Plant Unit 3,3433,Power Plant Unit,40.611858,-122.44644127,489.510000
Keswick Power Plant Unit 2,3432,Power Plant Unit,40.611858,-122.44644127,489.510000
Keswick Power Plant Unit 1,3431,Power Plant Unit,40.611858,-122.44644127,489.510000
Judge Francis Carr Power Plant Unit 2,3430,Power Plant Unit,40.64693398,-122.62697266,1213.570000
Judge Francis Carr Power Plant Unit 1,3429,Power Plant Unit,40.64693398,-122.62697266,1213.570000
Hungry Horse Power Plant Unit 4,3428,Power Plant Unit,48.34152069,-114.01443014,3117.520000
Hungry Horse Power Plant Unit 3,3427,Power Plant Unit,48.34152069,-114.01443014,3117.520000
Hungry Horse Power Plant Unit 2,3426,Power Plant Unit,48.34152069,-114.01443014,3117.520000
Hungry Horse Power Plant Unit 1,3425,Power Plant Unit,48.34152069,-114.01443014,3117.520000
Hoover Power Plant Unit N8,3424,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit N7,3423,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit N6,3422,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit N5,3421,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit N4,3420,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit N3,3419,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit N2,3418,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit N1,3417,Power Plant Unit,36.01550974,-114.73800556,995.630000
Hoover Power Plant Unit N0,3416,Power Plant Unit,36.01550974,-114.73800556,995.630000
Heart Mountain Power Plant Unit 1,3405,Power Plant Unit,44.51376683,-109.12958796,4986.100000
Guernsey Power Plant Unit 2,3404,Power Plant Unit,42.28986789,-104.76063398,4497.110000
Guernsey Power Plant Unit 1,3403,Power Plant Unit,42.28986789,-104.76063398,4497.110000
Green Springs Power Plant Unit 1,3402,Power Plant Unit,42.12116814,-122.54789573,2458.600000
Green Mountain Power Plant Unit 2,3401,Power Plant Unit,39.87880535,-106.33272523,7737.710000
Green Mountain Power Plant Unit 1,3400,Power Plant Unit,39.87880535,-106.33272523,7737.710000
Grand Coulee Power Plant Unit LS3,3399,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit LS2,3398,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit LS1,3397,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 24,3394,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 23,3393,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 22,3392,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 21,3391,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 20,3390,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 19,3389,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 18,3388,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 17,3387,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 16,3386,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 15,3385,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 14,3384,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 13,3383,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 12,3382,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 11,3381,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 10,3380,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 09,3379,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 08,3378,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 07,3377,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 06,3376,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 05,3375,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 04,3374,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 03,3373,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 02,3372,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Power Plant Unit 01,3371,Power Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Pump Generating Plant Unit PG12,3370,Pump Generating Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Pump Generating Plant Unit PG11,3369,Pump Generating Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Pump Generating Plant Unit PG10,3368,Pump Generating Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Pump Generating Plant Unit PG09,3367,Pump Generating Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Pump Generating Plant Unit PG08,3366,Pump Generating Plant Unit,47.95751079,-118.9773228,1052.040000
Grand Coulee Pump Generating Plant Unit PG07,3365,Pump Generating Plant Unit,47.95751079,-118.9773228,1052.040000
Glendo Power Plant Unit 2,3364,Power Plant Unit,42.46725436,-104.95552621,4506.690000
Glendo Power Plant Unit 1,3363,Power Plant Unit,42.46725436,-104.95552621,4506.690000
Glen Canyon Power Plant Unit 8,3362,Power Plant Unit,36.93661409,-111.48387184,3299.520000
Glen Canyon Power Plant Unit 7,3361,Power Plant Unit,36.93661409,-111.48387184,3299.520000
Glen Canyon Power Plant Unit 6,3360,Power Plant Unit,36.93661409,-111.48387184,3299.520000
Glen Canyon Power Plant Unit 5,3359,Power Plant Unit,36.93661409,-111.48387184,3299.520000
Glen Canyon Power Plant Unit 4,3358,Power Plant Unit,36.93661409,-111.48387184,3299.520000
Glen Canyon Power Plant Unit 3,3357,Power Plant Unit,36.93661409,-111.48387184,3299.520000
Glen Canyon Power Plant Unit 2,3356,Power Plant Unit,36.93661409,-111.48387184,3299.520000
Glen Canyon Power Plant Unit 1,3355,Power Plant Unit,36.93661409,-111.48387184,3299.520000
Fremont Canyon Power Plant Unit 2,3354,Power Plant Unit,42.47660012,-106.79590143,5558.500000
Fremont Canyon Power Plant Unit 1,3353,Power Plant Unit,42.47660012,-106.79590143,5558.500000
Fontenelle Power Plant Unit 1,3352,Power Plant Unit,42.02701297,-110.06397312,6406.730000
Folsom Power Plant Unit 3,3351,Power Plant Unit,38.70675032,-121.15844321,197.470000
Folsom Power Plant Unit 2,3350,Power Plant Unit,38.70675032,-121.15844321,197.470000
Folsom Power Plant Unit 1,3349,Power Plant Unit,38.70675032,-121.15844321,197.470000
Flatiron (Unit 3) Pump Generating Plant Unit 3,3348,Pump Generating Plant Unit,40.36499622,-105.23603218,5487.490000
"Flatiron (Unit 1, 2) Power Plant Unit 2",3347,Power Plant Unit,40.36499622,-105.23603218,5487.490000
"Flatiron (Unit 1, 2) Power Plant Unit 1",3346,Power Plant Unit,40.36499622,-105.23603218,5487.490000
Flaming Gorge Power Plant Unit 3,3345,Power Plant Unit,40.91464594,-109.42166209,5711.950000
Flaming Gorge Power Plant Unit 2,3344,Power Plant Unit,40.91464594,-109.42166209,5711.950000
Flaming Gorge Power Plant Unit 1,3343,Power Plant Unit,40.91464594,-109.42166209,5711.950000
Estes Power Plant Unit 3,3342,Power Plant Unit,40.37677066,-105.50966502,7481.110000
Estes Power Plant Unit 2,3341,Power Plant Unit,40.37677066,-105.50966502,7481.110000
Estes Power Plant Unit 1,3340,Power Plant Unit,40.37677066,-105.50966502,7481.110000
Elephant Butte Power Plant Unit 3,3339,Power Plant Unit,33.15335835,-107.19197294,4290.930000
Elephant Butte Power Plant Unit 2,3338,Power Plant Unit,33.15335835,-107.19197294,4290.930000
Elephant Butte Power Plant Unit 1,3337,Power Plant Unit,33.15335835,-107.19197294,4290.930000
Davis Power Plant Unit 5,3334,Power Plant Unit,35.19704427,-114.57066921,527.410000
Davis Power Plant Unit 4,3333,Power Plant Unit,35.19704427,-114.57066921,527.410000
Davis Power Plant Unit 3,3332,Power Plant Unit,35.19704427,-114.57066921,527.410000
Davis Power Plant Unit 2,3331,Power Plant Unit,35.19704427,-114.57066921,527.410000
Davis Power Plant Unit 1,3330,Power Plant Unit,35.19704427,-114.57066921,527.410000
Crystal Power Plant Unit 1,3329,Power Plant Unit,38.5105725,-107.6253351,6758.910000
Chandler Power Plant Unit 2,3328,Power Plant Unit,46.26678025,-119.58982128,518.280000
Chandler Power Plant Unit 1,3327,Power Plant Unit,46.26678025,-119.58982128,518.280000
Canyon Ferry Power Plant Unit 3,3326,Power Plant Unit,46.64902592,-111.727874,3658.660000
Canyon Ferry Power Plant Unit 2,3325,Power Plant Unit,46.64902592,-111.727874,3658.660000
Canyon Ferry Power Plant Unit 1,3324,Power Plant Unit,46.64902592,-111.727874,3658.660000
Buffalo Bill Power Plant Unit 3,3323,Power Plant Unit,44.50816852,-109.17066126,5100.410000
Buffalo Bill Power Plant Unit 2,3322,Power Plant Unit,44.50816852,-109.17066126,5100.410000
Buffalo Bill Power Plant Unit 1,3321,Power Plant Unit,44.50816852,-109.17066126,5100.410000
Boysen Power Plant Unit 2,3320,Power Plant Unit,43.41787167,-108.1775449,4639.010000
Boysen Power Plant Unit 1,3319,Power Plant Unit,43.41787167,-108.1775449,4639.010000
Boise River Diversion Power Plant Unit 3,3318,Power Plant Unit,43.53768524,-116.09375567,2826.940000
Boise River Diversion Power Plant Unit 2,3317,Power Plant Unit,43.53768524,-116.09375567,2826.940000
Boise River Diversion Power Plant Unit 1,3316,Power Plant Unit,43.53768524,-116.09375567,2826.940000
Blue Mesa Power Plant Unit 2,3315,Power Plant Unit,38.45319055,-107.33748257,7185.380000
Blue Mesa Power Plant Unit 1,3314,Power Plant Unit,38.45319055,-107.33748257,7185.380000
Black Canyon Power Plant Unit 2,3313,Power Plant Unit,43.93046205,-116.43717204,2434.030000
Black Canyon Power Plant Unit 1,3312,Power Plant Unit,43.93046205,-116.43717204,2434.030000
Big Thompson Power Plant Unit 1,3311,Power Plant Unit,40.42103105,-105.22380391,5290.900000
Anderson Ranch Power Plant Unit 2,3310,Power Plant Unit,43.35706587,-115.4515169,3896.960000
Anderson Ranch Power Plant Unit 1,3309,Power Plant Unit,43.35706587,-115.4515169,3896.960000
Alcova Power Plant Unit 2,3308,Power Plant Unit,42.5484117,-106.71753635,5364.830000
Alcova Power Plant Unit 1,3307,Power Plant Unit,42.5484117,-106.71753635,5364.830000
Yellowtail Power Plant,3306,Power Plant,45.30740604,-107.95751503,3361.740000
Upper Molina Power Plant,3305,Power Plant,39.14380817,-108.00477696,7115.640000
Trinity Power Plant,3304,Power Plant,40.79729606,-122.762553,1916.310000
Stampede Power Plant,3302,Power Plant,39.4704469,-120.1045501,5718.360000
Spring Creek Power Plant,3301,Power Plant,40.62811453,-122.46750913,630.300000
Spirit Mountain Power Plant,3300,Power Plant,44.51269948,-109.12987759,5108.730000
Shasta Power Plant,3298,Power Plant,40.7174549,-122.42227399,624.500000
Seminoe Power Plant,3297,Power Plant,42.15612723,-106.90848298,6191.730000
Roza Power Plant,3295,Power Plant,46.61841316,-120.47775915,1068.630000
Pole Hill Power Plant,3294,Power Plant,40.36505621,-105.32507438,6602.350000
Parker Power Plant,3293,Power Plant,34.29533439,-114.14022156,400.850000
Palisades Power Plant,3292,Power Plant,43.33484879,-111.20575219,5388.090000
Nimbus Power Plant,3290,Power Plant,38.63735019,-121.22019774,109.600000
New Melones Power Plant,3289,Power Plant,37.9469274,-120.52821066,526.420000
Mt. Elbert PS Pump Generating Plant,3288,Pump Generating Plant,39.09419721,-106.35233086,9249.360000
Morrow Point Power Plant,3287,Power Plant,38.45175332,-107.53929908,6847.750000
Minidoka Power Plant,3286,Power Plant,42.66989883,-113.48317504,4170.800000
Marys Lake Power Plant,3284,Power Plant,40.3440796,-105.5343083,8043.480000
Lower Molina Power Plant,3283,Power Plant,39.19365968,-108.04408811,5802.010000
Lewiston Power Plant,3282,Power Plant,40.72586504,-122.79371384,1910.910000
